Decade,Num Faces,Total Pages,Num Pages with Faces,Percentage of Pages with Faces
1790,3,20,3,15.0
1800,10,36,9,25.0
1810,2,26,2,7.6923076923076925
1820,1,32,1,3.125
1830,2,36,2,5.555555555555555
1850,2,24,2,8.333333333333332
1860,1,24,1,4.166666666666666
1870,1,24,1,4.166666666666666
1880,1,24,1,4.166666666666666
1890,1,26,1,3.8461538461538463
1900,4,28,4,14.285714285714285
1910,4,30,4,13.333333333333334
1920,8,28,6,21.428571428571427
1930,8,28,6,21.428571428571427
1940,10,38,8,21.052631578947366
1950,8,48,8,16.666666666666664
1960,25,90,19,21.11111111111111
1970,14,77,11,14.285714285714285
1980,60,135,44,32.592592592592595
1990,115,208,74,35.57692307692308
